longitude	latitude
-9.15	38.72
-9.15	38.72
126.45	-8.47
126.45	-8.47
-15.65	11.88
-15.65	11.88
-15.63	11.87
-15.63	11.87
125.58	-8.58
125.58	-8.58
20.83	-7.37
20.83	-7.37
73.82	15.43
73.82	15.43
19.92	-11.78
19.92	-11.78
32.57	-25.92
32.57	-25.92
32.57	-25.92
32.57	-25.92
32.57	-25.92
73.82	15.38
73.82	15.38
6.72	0.38
6.72	0.38
0.11	48.445
0.11	48.445
-0.456	49.18
-0.456	49.18
-1.463	49.652
-1.463	49.652
-61.063	14.617
-61.063	14.617
-61.063	14.617
-61.063	14.617
-61.503	16.216
-61.503	16.216
-1.608	47.15
-1.608	47.15
-176.594	-13.24
-176.594	-13.24
164.284	-20.558
164.284	-20.558
166.452	-22.276
166.452	-22.276
166.222	-22.017
166.222	-22.017
166.222	-22.017
166.222	-22.017
-3.435	47.762
-3.435	47.762
-1.734	48.068
-1.734	48.068
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
2.009	48.774
2.009	48.774
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-4.412	48.444
-4.412	48.444
-4.412	48.444
-4.412	48.444
-4.412	48.444
4.406	43.856
4.406	43.856
4.406	43.856
4.406	43.856
4.406	43.856
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
140.001	-66.663
140.001	-66.663
140.001	-66.663
140.001	-66.663
140.001	-66.663
77.569	-37.795
77.569	-37.795
77.569	-37.795
77.569	-37.795
77.569	-37.795
-149.614	-17.555
-149.614	-17.555
-149.614	-17.555
-149.614	-17.555
-149.614	-17.555
-61.516	16.624
-61.516	16.624
-61.516	16.624
-61.516	16.624
-61.516	16.624
141.416	-66.833
141.416	-66.833
141.416	-66.833
141.416	-66.833
141.416	-66.833
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
-52.365	4.822
8.792	41.918
8.792	41.918
8.792	41.918
8.792	41.918
8.792	41.918
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-4.412	48.444
-4.412	48.444
-4.412	48.444
-4.412	48.444
-4.412	48.444
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
6.221	48.687
6.221	48.687
6.221	48.687
6.221	48.687
6.221	48.687
4.406	43.856
4.406	43.856
4.406	43.856
4.406	43.856
4.406	43.856
2.009	48.774
2.009	48.774
2.009	48.774
2.009	48.774
2.009	48.774
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
-0.691	44.831
4.406	43.856
4.406	43.856
4.406	43.856
4.406	43.856
1.371	43.54
1.371	43.54
1.371	43.54
1.371	43.54
-61.516	16.624
-61.516	16.624
-4.508	48.375
-4.508	48.375
-1.633	49.65
-1.633	49.65
-1.633	49.65
-1.633	49.65
2.872	42.737
2.872	42.737
2.872	42.737
2.872	42.737
2.885	42.701
2.885	42.701
1.834	50.135
1.834	50.135
8.792	41.918
8.792	41.918
8.763	41.924
8.763	41.924
8.763	41.924
8.763	41.924
8.763	41.924
8.763	41.924
8.793	41.918
8.793	41.918
8.763	41.924
8.763	41.924
0.11	48.445
0.11	48.445
-1.132	44.534
-1.132	44.534
-1.633	49.65
-1.633	49.65
3.149	45.786
3.149	45.786
3.149	45.786
3.149	45.786
3.149	45.786
3.149	45.786
3.149	45.786
3.149	45.786
7.64	48.549
7.64	48.549
7.64	48.549
7.64	48.549
6.15	48.65
6.15	48.65
-52.365	4.822
-52.365	4.822
5.088	47.267
5.088	47.267
5.088	47.267
5.088	47.267
5.088	47.267
5.088	47.267
55.452	-20.874
55.452	-20.874
-62.852	17.901
-62.852	17.901
2.316	49.883
2.316	49.883
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.937	45.726
4.922	45.523
4.922	45.523
4.922	45.523
4.922	45.523
6.221	48.687
6.221	48.687
6.221	48.687
6.221	48.687
6.221	48.687
6.221	48.687
-1.608	47.15
-1.608	47.15
7.115	43.583
7.115	43.583
7.127	43.59
7.127	43.59
7.209	43.648
7.209	43.648
164.284	-20.558
164.284	-20.558
166.452	-22.276
166.452	-22.276
166.222	-22.017
166.222	-22.017
-0.41	43.38
-0.41	43.38
-0.41	43.38
-0.41	43.38
-0.41	43.38
-0.41	43.38
-0.41	43.38
-0.41	43.38
4.05	49.306
4.05	49.306
-0.02	48.743
